,index,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,PavedDrive,SaleCondition,Electrical,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GarageArea,GarageCars,BsmtHalfBath,BsmtFullBath,MasVnrArea,GarageYrBlt,LotFrontage,SaleType,Exterior1st,Exterior2nd,KitchenQual,Utilities,Functional,MSZoning,MasVnrType,BsmtFinType1,BsmtFinType2,BsmtExposure,BsmtQual,BsmtCond,GarageType,GarageFinish,GarageQual,GarageCond,FireplaceQu
0,1,60,8450,7,5,2003,2003,856,854,0,1710,2,1,3,1,8,0,0,61,0,0,0,0,0,2,2008,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,706.0,0.0,150.0,856.0,548.0,2.0,0.0,1.0,196.0,2003.0,65.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
1,2,20,9600,6,8,1976,1976,1262,0,0,1262,2,0,3,1,6,1,298,0,0,0,0,0,0,5,2007,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,978.0,0.0,284.0,1262.0,460.0,2.0,1.0,0.0,0.0,1976.0,80.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,ALQ,Unf,Gd,Gd,TA,Attchd,RFn,TA,TA,TA
2,3,60,11250,7,5,2001,2002,920,866,0,1786,2,1,3,1,6,1,0,42,0,0,0,0,0,9,2008,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,486.0,0.0,434.0,920.0,608.0,2.0,0.0,1.0,162.0,2001.0,68.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,Mn,Gd,TA,Attchd,RFn,TA,TA,TA
3,4,70,9550,7,5,1915,1970,961,756,0,1717,1,0,3,1,7,1,0,35,272,0,0,0,0,2,2006,Pave,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,Y,Abnorml,SBrkr,216.0,0.0,540.0,756.0,642.0,3.0,0.0,1.0,0.0,1998.0,60.0,WD,Wd Sdng,Wd Shng,Gd,AllPub,Typ,RL,None,ALQ,Unf,No,TA,Gd,Detchd,Unf,TA,TA,Gd
4,5,60,14260,8,5,2000,2000,1145,1053,0,2198,2,1,4,1,9,1,192,84,0,0,0,0,0,12,2008,Pave,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,655.0,0.0,490.0,1145.0,836.0,3.0,0.0,1.0,350.0,2000.0,84.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,Av,Gd,TA,Attchd,RFn,TA,TA,TA
5,6,50,14115,5,5,1993,1995,796,566,0,1362,1,1,1,1,5,0,40,30,0,320,0,0,700,10,2009,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,Wood,GasA,Ex,Y,Y,Normal,SBrkr,732.0,0.0,64.0,796.0,480.0,2.0,0.0,1.0,0.0,1993.0,85.0,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,None,GLQ,Unf,No,Gd,TA,Attchd,Unf,TA,TA,Gd
6,7,20,10084,8,5,2004,2005,1694,0,0,1694,2,0,3,1,7,1,255,57,0,0,0,0,0,8,2007,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,1369.0,0.0,317.0,1686.0,636.0,2.0,0.0,1.0,186.0,2004.0,75.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,GLQ,Unf,Av,Ex,TA,Attchd,RFn,TA,TA,Gd
7,8,60,10382,7,6,1973,1973,1107,983,0,2090,2,1,3,1,7,2,235,204,228,0,0,0,350,11,2009,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,859.0,32.0,216.0,1107.0,484.0,2.0,0.0,1.0,240.0,1973.0,84.3517837524414,WD,HdBoard,HdBoard,TA,AllPub,Typ,RL,Stone,ALQ,BLQ,Mn,Gd,TA,Attchd,RFn,TA,TA,TA
8,9,50,6120,7,5,1931,1950,1022,752,0,1774,2,0,2,2,8,2,90,0,205,0,0,0,0,4,2008,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,Y,Abnorml,FuseF,0.0,0.0,952.0,952.0,468.0,2.0,0.0,0.0,0.0,1931.0,51.0,WD,BrkFace,Wd Shng,TA,AllPub,Min1,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,Fa,TA,TA
9,10,190,7420,5,6,1939,1950,1077,0,0,1077,1,0,2,2,5,2,0,4,0,0,0,0,0,1,2008,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,TA,TA,BrkTil,GasA,Ex,Y,Y,Normal,SBrkr,851.0,0.0,140.0,991.0,205.0,1.0,0.0,1.0,0.0,1939.0,50.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,GLQ,Unf,No,TA,TA,Attchd,RFn,Gd,TA,TA
10,11,20,11200,5,5,1965,1965,1040,0,0,1040,1,0,3,1,5,0,0,0,0,0,0,0,0,2,2008,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,906.0,0.0,134.0,1040.0,384.0,1.0,0.0,1.0,0.0,1965.0,70.0,WD,HdBoard,HdBoard,TA,AllPub,Typ,RL,None,Rec,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
11,12,60,11924,9,5,2005,2006,1182,1142,0,2324,3,0,4,1,11,2,147,21,0,0,0,0,0,7,2006,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,998.0,0.0,177.0,1175.0,736.0,3.0,0.0,1.0,286.0,2005.0,85.0,New,WdShing,Wd Shng,Ex,AllPub,Typ,RL,Stone,GLQ,Unf,No,Ex,TA,BuiltIn,Fin,TA,TA,Gd
